x y level seg_id
1.381952048385837406e+00 -2.383314957601282980e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.387987359020441902e+00 -2.361956640716575129e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.400054178734357002e+00 -2.305120739117007544e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.400155948426352603e+00 -2.304689038064480222e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.412324537832263305e+00 -2.248609698016006686e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.416430868614781735e+00 -2.226926520632732664e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.424493127238173562e+00 -2.187242470500584401e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.431880923699961228e+00 -2.148732302148457507e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.436661716644084263e+00 -2.126000664396574535e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.448375274114249489e+00 -2.070538083664182349e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.448830306049994965e+00 -2.068676697129217257e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.460998895455905444e+00 -2.027181400291729607e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.470884359627817828e+00 -1.992343865179907469e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.473167484861815923e+00 -1.986065810459884950e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.485336074267726625e+00 -1.954076817842415881e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.497491717906028752e+00 -1.914149646695632312e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.497504663673636882e+00 -1.914116569300595705e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.509673253079547584e+00 -1.880045731630859973e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.520901905951620225e+00 -1.835955428211357154e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.521841842485458285e+00 -1.832896683346237898e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.534010431891368542e+00 -1.786600518567902085e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.539929450493622065e+00 -1.757761209727082274e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.546179021297279244e+00 -1.730145622953652984e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.555440417585644441e+00 -1.679566991242807394e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.558347610703189945e+00 -1.664196998347578504e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.568601026059788017e+00 -1.601372772758532237e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.570516200109100202e+00 -1.589174901362264414e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.580101329486919060e+00 -1.523178554274257079e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.582684789515010904e+00 -1.503210891149091843e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.590196226327075246e+00 -1.444984335789982199e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.594853378920921827e+00 -1.401011601886251456e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.598767966322179657e+00 -1.366790117305707042e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.605957030650809081e+00 -1.288595898821431884e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.607021968326831862e+00 -1.274878127168652675e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.613058167921560537e+00 -1.210401680337156866e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.618258401620450204e+00 -1.132207461852881847e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.619190557732742564e+00 -1.115353591456978849e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.623764710263386979e+00 -1.054013243368606689e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.628075078412616561e+00 -9.758190248843318093e-02 3.200000000000000153e-03 0.000000000000000000e+00
